attack_type,bytes,dst_ip,dst_port,flags,id,label,payload,protocol,src_ip,src_port,timestamp
port_scan,51,10.20.0.10,1260,SYN,ae82b62c,attack,,TCP,185.220.101.7,53039,2026-03-02T09:01:40
,1173,10.20.0.10,5432,"SYN,ACK,FIN",cb25aaf6,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.151.72,19905,2026-03-02T09:01:40.068174
port_scan,47,10.20.0.10,9404,SYN,23033550,attack,,TCP,185.220.101.7,34365,2026-03-02T09:01:40.150000
port_scan,46,10.20.0.10,2256,SYN,d2397488,attack,,TCP,185.220.101.7,8977,2026-03-02T09:01:40.300000
port_scan,44,10.20.0.10,8675,SYN,709e4137,attack,,TCP,185.220.101.7,52932,2026-03-02T09:01:40.450000
port_scan,55,10.20.0.10,6013,SYN,5a661639,attack,,TCP,185.220.101.7,16538,2026-03-02T09:01:40.600000
,3817,10.20.0.10,443,"SYN,ACK,FIN",e1822b49,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.51.184,62958,2026-03-02T09:01:40.686493
port_scan,51,10.20.0.10,6522,SYN,0c24afea,attack,,TCP,185.220.101.7,2746,2026-03-02T09:01:40.750000
port_scan,58,10.20.0.10,5151,SYN,070531d4,attack,,TCP,185.220.101.7,37332,2026-03-02T09:01:40.900000
port_scan,54,10.20.0.10,4567,SYN,5521fda9,attack,,TCP,185.220.101.7,25200,2026-03-02T09:01:41.050000
port_scan,57,10.20.0.10,4090,SYN,176e85dc,attack,,TCP,185.220.101.7,53692,2026-03-02T09:01:41.200000
port_scan,59,10.20.0.10,1859,SYN,ae3dc168,attack,,TCP,185.220.101.7,9528,2026-03-02T09:01:41.350000
port_scan,42,10.20.0.10,425,SYN,04b4fc39,attack,,TCP,185.220.101.7,58973,2026-03-02T09:01:41.500000
port_scan,49,10.20.0.10,3049,SYN,95f92579,attack,,TCP,185.220.101.7,5332,2026-03-02T09:01:41.650000
port_scan,55,10.20.0.10,8177,SYN,c760c311,attack,,TCP,185.220.101.7,27117,2026-03-02T09:01:41.800000
port_scan,53,10.20.0.10,8483,SYN,8312c8b6,attack,,TCP,185.220.101.7,35475,2026-03-02T09:01:41.950000
port_scan,53,10.20.0.10,6341,SYN,7c615fa5,attack,,TCP,185.220.101.7,51431,2026-03-02T09:01:42.100000
port_scan,58,10.20.0.10,9203,SYN,dfc582ee,attack,,TCP,185.220.101.7,54982,2026-03-02T09:01:42.250000
port_scan,44,10.20.0.10,1930,SYN,00408f9a,attack,,TCP,185.220.101.7,5857,2026-03-02T09:01:42.400000
port_scan,50,10.20.0.10,4289,SYN,c1a85939,attack,,TCP,185.220.101.7,64749,2026-03-02T09:01:42.550000
port_scan,42,10.20.0.10,4265,SYN,6442c979,attack,,TCP,185.220.101.7,43120,2026-03-02T09:01:42.700000
port_scan,54,10.20.0.10,7312,SYN,d56da289,attack,,TCP,185.220.101.7,30513,2026-03-02T09:01:42.850000
port_scan,56,10.20.0.10,3516,SYN,d3365551,attack,,TCP,185.220.101.7,45595,2026-03-02T09:01:43
port_scan,44,10.20.0.10,4679,SYN,2a5d1dec,attack,,TCP,185.220.101.7,23602,2026-03-02T09:01:43.150000
port_scan,57,10.20.0.10,8048,SYN,921cd359,attack,,TCP,185.220.101.7,58561,2026-03-02T09:01:43.300000
port_scan,58,10.20.0.10,3280,SYN,0a691778,attack,,TCP,185.220.101.7,42953,2026-03-02T09:01:43.450000
port_scan,44,10.20.0.10,2010,SYN,f5f495b3,attack,,TCP,185.220.101.7,12949,2026-03-02T09:01:43.600000
,1530,10.20.0.10,443,"SYN,ACK,FIN",2f8bc708,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.51.184,2390,2026-03-02T09:01:43.656035
port_scan,56,10.20.0.10,2224,SYN,ca55da5b,attack,,TCP,185.220.101.7,29376,2026-03-02T09:01:43.750000
port_scan,41,10.20.0.10,1214,SYN,0eff5105,attack,,TCP,185.220.101.7,60708,2026-03-02T09:01:43.900000
port_scan,43,10.20.0.10,7407,SYN,5dda7dd9,attack,,TCP,185.220.101.7,55510,2026-03-02T09:01:44.050000
port_scan,44,10.20.0.10,2829,SYN,1805532e,attack,,TCP,185.220.101.7,34978,2026-03-02T09:01:44.200000
port_scan,45,10.20.0.10,7293,SYN,8af96e6a,attack,,TCP,185.220.101.7,20955,2026-03-02T09:01:44.350000
port_scan,50,10.20.0.10,1439,SYN,d3b222a0,attack,,TCP,185.220.101.7,11638,2026-03-02T09:01:44.500000
,3834,10.20.0.10,5432,"SYN,ACK,FIN",311ac4be,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.8.24,16411,2026-03-02T09:01:44.508433
port_scan,47,10.20.0.10,5237,SYN,e1c69a78,attack,,TCP,185.220.101.7,62282,2026-03-02T09:01:44.650000
port_scan,56,10.20.0.10,5693,SYN,20302782,attack,,TCP,185.220.101.7,23700,2026-03-02T09:01:44.800000
port_scan,49,10.20.0.10,1064,SYN,1750434d,attack,,TCP,185.220.101.7,59673,2026-03-02T09:01:44.950000
port_scan,42,10.20.0.10,9012,SYN,c16b326c,attack,,TCP,185.220.101.7,56463,2026-03-02T09:01:45.100000
port_scan,46,10.20.0.10,8883,SYN,1d85f0d6,attack,,TCP,185.220.101.7,17447,2026-03-02T09:01:45.250000
port_scan,57,10.20.0.10,4758,SYN,d87054ea,attack,,TCP,185.220.101.7,42643,2026-03-02T09:01:45.400000
port_scan,44,10.20.0.10,4915,SYN,8e97f2cc,attack,,TCP,185.220.101.7,19010,2026-03-02T09:01:45.550000
port_scan,49,10.20.0.10,2581,SYN,7a41109c,attack,,TCP,185.220.101.7,41985,2026-03-02T09:01:45.700000
port_scan,57,10.20.0.10,2853,SYN,fd34242f,attack,,TCP,185.220.101.7,41291,2026-03-02T09:01:45.850000
,2533,10.20.0.10,5432,"SYN,ACK,FIN",a762d99a,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.23.152,59369,2026-03-02T09:01:47.897953
,1492,10.20.0.10,443,"SYN,ACK,FIN",43b47b58,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.109.9,13645,2026-03-02T09:01:48.590296
,2780,10.20.0.10,5432,"SYN,ACK,FIN",a6b19a2d,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.167.180,64800,2026-03-02T09:01:49.283475
,2451,10.20.0.10,443,"SYN,ACK,FIN",1be956fc,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.246.196,32172,2026-03-02T09:01:55.552318
,547,10.20.0.10,5432,"SYN,ACK,FIN",d53e5f2f,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.179.109,47478,2026-03-02T09:01:56.056492
,2934,10.20.0.10,5432,"SYN,ACK,FIN",74c915ab,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.58.36,31474,2026-03-02T09:02:00.005195
,1768,10.20.0.10,443,"SYN,ACK,FIN",7ccb31b5,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.151.72,16179,2026-03-02T09:02:04.536655
,352,10.20.0.10,443,"SYN,ACK,FIN",798c1c1e,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.51.184,63038,2026-03-02T09:02:05.799311
,1210,10.20.0.10,5432,"SYN,ACK,FIN",d067e9f1,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.207.41,10174,2026-03-02T09:02:08.584431
,222,10.20.0.10,443,"SYN,ACK,FIN",8e0f7f48,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.7.144,46088,2026-03-02T09:02:12.814211
,2505,10.20.0.10,443,"SYN,ACK,FIN",4cabd184,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.179.109,54183,2026-03-02T09:02:16.554306
,861,10.20.0.10,443,"SYN,ACK,FIN",691cb5f4,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.207.41,50995,2026-03-02T09:02:17.555342
,1091,10.20.0.10,5432,"SYN,ACK,FIN",273e53e1,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.151.72,20469,2026-03-02T09:02:19.317143
,2730,10.20.0.10,443,"SYN,ACK,FIN",9faa5fe7,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.71.63,50466,2026-03-02T09:02:20.021913
,2045,10.20.0.10,443,"SYN,ACK,FIN",a3ae5c68,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.174.190,27796,2026-03-02T09:02:20.879354
,3157,10.20.0.10,5432,"SYN,ACK,FIN",d68f8682,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.8.24,1236,2026-03-02T09:02:22.341979
,1305,10.20.0.10,443,"SYN,ACK,FIN",7638206a,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.40.56,25891,2026-03-02T09:02:27.062244
,1799,10.20.0.10,443,"SYN,ACK,FIN",21c29af1,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.7.144,1165,2026-03-02T09:02:28.173409
,2637,10.20.0.10,443,"SYN,ACK,FIN",60482186,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.71.63,21183,2026-03-02T09:02:29.330510
,2696,10.20.0.10,443,"SYN,ACK,FIN",f46028f9,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.51.184,6199,2026-03-02T09:02:32.985284
,719,10.20.0.10,443,"SYN,ACK,FIN",1ac3ce2b,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.56.60,4458,2026-03-02T09:02:36.821581
,2381,10.20.0.10,5432,"SYN,ACK,FIN",c71c2b0d,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.140.108,25941,2026-03-02T09:02:38.125322
,2772,10.20.0.10,443,"SYN,ACK,FIN",dbbde08f,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.207.41,51673,2026-03-02T09:02:39.431516
,1223,10.20.0.10,5432,"SYN,ACK,FIN",67d514bd,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.189.27,31342,2026-03-02T09:02:45.139232
,2183,10.20.0.10,443,"SYN,ACK,FIN",512ac05f,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.58.36,49429,2026-03-02T09:02:52.386876
,2037,10.20.0.10,443,"SYN,ACK,FIN",8f73f9f9,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.58.36,36170,2026-03-02T09:02:52.431065
,834,10.20.0.10,5432,"SYN,ACK,FIN",976baa3b,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.56.60,10039,2026-03-02T09:02:52.804710
,2575,10.20.0.10,443,"SYN,ACK,FIN",abef92f0,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.8.24,52519,2026-03-02T09:03:09.164416
,1820,10.20.0.10,443,"SYN,ACK,FIN",b20aa619,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.208.223,33741,2026-03-02T09:03:11.363890
,888,10.20.0.10,443,"SYN,ACK,FIN",85c0e4f2,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.8.24,52084,2026-03-02T09:03:19.414853
,991,10.20.0.10,443,"SYN,ACK,FIN",0b7d1580,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.8.24,44279,2026-03-02T09:03:20.631192
,3399,10.20.0.10,443,"SYN,ACK,FIN",2ea7f21a,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.7.190,5520,2026-03-02T09:03:21.799949
,803,10.20.0.10,443,"SYN,ACK,FIN",bbd64798,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.23.152,14074,2026-03-02T09:03:22.176599
,286,10.20.0.10,443,"SYN,ACK,FIN",732ebd4d,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.58.36,23180,2026-03-02T09:03:22.227603
,328,10.20.0.10,443,"SYN,ACK,FIN",384d70cd,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.88.72,60361,2026-03-02T09:03:26.047605
,3497,10.20.0.10,443,"SYN,ACK,FIN",57baa889,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.246.196,3127,2026-03-02T09:03:26.143265
,1467,10.20.0.10,5432,"SYN,ACK,FIN",6517f413,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.246.196,16698,2026-03-02T09:03:30.602650
,1735,10.20.0.10,443,"SYN,ACK,FIN",197b624e,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.7.144,6372,2026-03-02T09:03:32.200266
,1248,10.20.0.10,443,"SYN,ACK,FIN",4ee1eb01,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.207.41,10621,2026-03-02T09:03:32.641964
,1670,10.20.0.10,443,"SYN,ACK,FIN",290a6812,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.140.108,38505,2026-03-02T09:03:33.485132
,736,10.20.0.10,443,"SYN,ACK,FIN",25774420,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.88.72,26962,2026-03-02T09:03:34.817357
,3507,10.20.0.10,5432,"SYN,ACK,FIN",b7a7bd61,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.208.223,32020,2026-03-02T09:03:38.697518
,2703,10.20.0.10,443,"SYN,ACK,FIN",6fc872f4,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.164.29,32162,2026-03-02T09:03:40.358290
,2849,10.20.0.10,5432,"SYN,ACK,FIN",8610aaa1,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.7.144,50391,2026-03-02T09:03:47.982389
,812,10.20.0.10,443,"SYN,ACK,FIN",b2581de5,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.71.63,55744,2026-03-02T09:03:50.331536
,3072,10.20.0.10,443,"SYN,ACK,FIN",3ecbdc3d,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.179.109,52625,2026-03-02T09:04:00.125139
,3940,10.20.0.10,5432,"SYN,ACK,FIN",85282eba,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.56.60,14850,2026-03-02T09:04:00.966788
,3857,10.20.0.10,443,"SYN,ACK,FIN",931388e8,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.8.24,21976,2026-03-02T09:04:04.543596
,1936,10.20.0.10,443,"SYN,ACK,FIN",9202db88,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.7.190,44404,2026-03-02T09:04:04.892559
,1707,10.20.0.10,443,"SYN,ACK,FIN",c58bbe7b,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.207.41,53409,2026-03-02T09:04:05.894946
,423,10.20.0.10,443,"SYN,ACK,FIN",1d9bc2d5,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.88.72,64875,2026-03-02T09:04:06.880194
,3743,10.20.0.10,5432,"SYN,ACK,FIN",67d05506,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.179.109,38112,2026-03-02T09:04:07.032342
,3122,10.20.0.10,443,"SYN,ACK,FIN",7ff2b95e,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.207.41,6101,2026-03-02T09:04:07.137702
,3616,10.20.0.10,5432,"SYN,ACK,FIN",734b94be,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.58.36,42684,2026-03-02T09:04:10.176243
,3367,10.20.0.10,443,"SYN,ACK,FIN",7914b185,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.7.144,5573,2026-03-02T09:04:10.742755
,3072,10.20.0.10,443,"SYN,ACK,FIN",20dfe96f,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.109.9,40093,2026-03-02T09:04:11.692639
,3688,10.20.0.10,5432,"SYN,ACK,FIN",1a26b155,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.179.109,48454,2026-03-02T09:04:15.732276
,856,10.20.0.10,443,"SYN,ACK,FIN",84a91c16,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.57.115,51035,2026-03-02T09:04:16.556713
,3192,10.20.0.10,5432,"SYN,ACK,FIN",325bf37c,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.109.9,46675,2026-03-02T09:04:16.724306
,231,10.20.0.10,443,"SYN,ACK,FIN",5f471ed1,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.246.196,8887,2026-03-02T09:04:20.502418
,1380,10.20.0.10,5432,"SYN,ACK,FIN",7f3bd917,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.88.72,16194,2026-03-02T09:04:22.133360
,2718,10.20.0.10,443,"SYN,ACK,FIN",f22bd3e3,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.88.72,1126,2026-03-02T09:04:22.144789
,3033,10.20.0.10,443,"SYN,ACK,FIN",d85d45c3,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.164.29,27526,2026-03-02T09:04:24.812023
,446,10.20.0.10,5432,"SYN,ACK,FIN",0e0fe786,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.208.223,41723,2026-03-02T09:04:34.842220
,3139,10.20.0.10,443,"SYN,ACK,FIN",03dea79f,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.179.109,40517,2026-03-02T09:04:35.846270
,336,10.20.0.10,443,"SYN,ACK,FIN",617ce41d,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.207.41,29913,2026-03-02T09:04:38.039596
,3060,10.20.0.10,443,"SYN,ACK,FIN",57f64545,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.189.27,44019,2026-03-02T09:04:39.208564
,2924,10.20.0.10,443,"SYN,ACK,FIN",317a8eb8,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.40.56,21505,2026-03-02T09:04:41.293515
,674,10.20.0.10,443,"SYN,ACK,FIN",8a6ddd96,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.167.180,22210,2026-03-02T09:04:43.065441
,2311,10.20.0.10,443,"SYN,ACK,FIN",cec8dbf2,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.229.140,21345,2026-03-02T09:04:44.036238
,3637,10.20.0.10,443,"SYN,ACK,FIN",60de5696,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.23.152,7517,2026-03-02T09:04:46.816388
,3713,10.20.0.10,443,"SYN,ACK,FIN",2d8fa726,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.51.184,7879,2026-03-02T09:04:48.952430
,1543,10.20.0.10,443,"SYN,ACK,FIN",ba3dc9f2,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.151.72,6271,2026-03-02T09:04:49.090285
,2253,10.20.0.10,443,"SYN,ACK,FIN",1b2ed7bc,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.207.41,32194,2026-03-02T09:04:49.374087
,3602,10.20.0.10,443,"SYN,ACK,FIN",f4d1316b,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.208.223,17112,2026-03-02T09:04:50.074125
,1401,10.20.0.10,443,"SYN,ACK,FIN",1d516f20,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.164.29,4701,2026-03-02T09:04:51.937200
,3803,10.20.0.10,5432,"SYN,ACK,FIN",3fb0b2e2,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.229.140,50911,2026-03-02T09:04:54.161224
,2425,10.20.0.10,443,"SYN,ACK,FIN",500bf026,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.140.108,51019,2026-03-02T09:04:59.195960
brute_force,428,10.20.0.10,22,"SYN,ACK",2bf5bd97,attack,SSH-2.0-OpenSSH_auth_failed,TCP,193.106.191.44,7146,2026-03-02T09:05:00
,2918,10.20.0.10,443,"SYN,ACK,FIN",7cd821c2,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.179.109,39214,2026-03-02T09:05:00.025832
,2809,10.20.0.10,443,"SYN,ACK,FIN",63a24eaf,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.7.190,9597,2026-03-02T09:05:00.200885
brute_force,343,10.20.0.10,22,"SYN,ACK",0d0588fd,attack,SSH-2.0-OpenSSH_auth_failed,TCP,193.106.191.44,43031,2026-03-02T09:05:01.200000
brute_force,448,10.20.0.10,22,"SYN,ACK",535c9a00,attack,SSH-2.0-OpenSSH_auth_failed,TCP,193.106.191.44,39808,2026-03-02T09:05:02.400000
,3685,10.20.0.10,5432,"SYN,ACK,FIN",c9083a63,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.167.180,33418,2026-03-02T09:05:02.756958
brute_force,343,10.20.0.10,22,"SYN,ACK",369cd666,attack,SSH-2.0-OpenSSH_auth_failed,TCP,193.106.191.44,11129,2026-03-02T09:05:03.600000
brute_force,459,10.20.0.10,22,"SYN,ACK",07aecddc,attack,SSH-2.0-OpenSSH_auth_failed,TCP,193.106.191.44,44194,2026-03-02T09:05:04.800000
brute_force,454,10.20.0.10,22,"SYN,ACK",20cb4c02,attack,SSH-2.0-OpenSSH_auth_failed,TCP,193.106.191.44,48251,2026-03-02T09:05:06
brute_force,444,10.20.0.10,22,"SYN,ACK",6693691c,attack,SSH-2.0-OpenSSH_auth_failed,TCP,193.106.191.44,23150,2026-03-02T09:05:07.200000
brute_force,307,10.20.0.10,22,"SYN,ACK",588adefb,attack,SSH-2.0-OpenSSH_auth_failed,TCP,193.106.191.44,3723,2026-03-02T09:05:08.400000
brute_force,311,10.20.0.10,22,"SYN,ACK",28ad71ad,attack,SSH-2.0-OpenSSH_auth_failed,TCP,193.106.191.44,6347,2026-03-02T09:05:09.600000
,1360,10.20.0.10,443,"SYN,ACK,FIN",1dc94ad0,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.57.115,8291,2026-03-02T09:05:10.655570
brute_force,464,10.20.0.10,22,"SYN,ACK",891d5ca5,attack,SSH-2.0-OpenSSH_auth_failed,TCP,193.106.191.44,63187,2026-03-02T09:05:10.800000
,1484,10.20.0.10,5432,"SYN,ACK,FIN",6f8cbde6,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.58.36,52563,2026-03-02T09:05:11.118401
